Column1,short_description,label,processed_text
1, गडकरी ने नहीं दिया है पीएम मोदी और राम मंदिर से जुड़ा ये विवादित बयान,0,गडकर न नह दय ह पएम मद रम मदर स जड य ववदत बयन
2," राम मंदिर वहीं बना है जहां रामलला विराजमान थे, बाबरी से तीन किलोमीटर दूर होने की बात है बेबुनियाद",0,रम मदर बन ह जह रमलल वरजमन थ बबर स तन कलमटर दर हन क बत ह बबनयद
3," यूपी में बोर्ड की परीक्षा नहीं हुई है रद्द, ये वीडियो पूरी तरह फर्जी है",0,यप म बरड क परकष नह हई ह रदद य वडय फरज ह
4," नेपाल से अयोध्या के जुलूस का नहीं, ये ग्रेटर नोएडा में निकली कलश यात्रा का वीडियो है",0,नपल स अयधय क जलस क नह य गरटर नएड म नकल कलश यतर क वडय ह
5, एमपी का सीएम बनने के बाद मोहन यादव ने दी जनता को गाली? इस वीडियो का सच कुछ और है,0,एमप क सएम बनन क बद महन यदव न द जनत क गल वडय क सच कछ ह
6, अयोध्या में राम मंदिर दर्शन के लिए नहीं जुटी जामवंत की ये सेना,0,अयधय म रम मदर दरशन क लए नह जट जमवत क य सन
7, मोदी सरकार ने नहीं लिया ₹500 के नोट पर राम मंदिर की फोटो छापने का फैसला,0,मद सरकर न नह लय 500 क नट रम मदर क फट छपन क फसल
8, 'काला चश्मा' गाने पर डांस करते ये व्यक्ति राजस्थान सीएम भजनलाल शर्मा नहीं हैं,0,चशम गन डस करत य वयकत रजसथन सएम भजनलल शरम नह ह
9," राजस्थान के शिक्षा मंत्री ने सचमुच मांगी थी लोगों के हाथ-पैर टूटने की दुआ, लेकिन ये कहानी कुछ पुरानी है",0,रजसथन क शकष मतर न सचमच मग थ लग क हथपर टटन क दआ लकन य कहन कछ परन ह
10, होटल से सामान चुराते पकड़ा गया ये परिवार पाकिस्तानी नहीं है,0,हटल स समन चरत पकड़ गय य परवर पकसतन नह ह
11, भगवान राम पर टिप्पणी के बाद एनसीपी नेता की पिटाई का भ्रामक दावा वायरल,0,भगवन रम टपपण क बद एनसप नत क पटई क भरमक दव वयरल
12, हेलिकॉप्टर का ये हैरतअंगेज वीडियो न तो भारत का है और न ही किसी हवाई दुर्घटना का,0,हलकपटर क य हरतअगज वडय न त भरत क ह न ह कस हवई दरघटन क
13," केजरीवाल ने नहीं कहा कि मोदी-शाह पाकिस्तान को बर्बाद कर देंगे, एडिटेड वीडियो फिर हुआ वायरल",0,कजरवल न नह कह क मदशह पकसतन क बरबद दग एडटड वडय फर हआ वयरल
14," डूबते जहाज का ये वीडियो है 7 साल पुराना, नहीं है इसका इजरायल-हूती विद्रोहियों की लड़ाई से कोई संबंध",0,डबत जहज क य वडय ह 7 सल परन नह ह इसक इजरयलहत वदरहय क लड़ई स सबध
15, कर्नाटक में हुए पुलिस लाठीचार्ज का वीडियो छत्तीसगढ़ में चल रहे आदिवासियों के प्रदर्शन का बताकर हुआ वायरल,0,करनटक म हए पलस लठचरज क वडय छततसगढ़ म चल रह आदवसय क परदरशन क बतकर हआ वयरल
16, छात्रा के फीस न भर पाने पर टीचर ने उससे शादी कर ली? इस वीडियो की असली कहानी कुछ और है,0,छतर क फस न भर पन टचर न उसस शद ल वडय क असल कहन कछ ह
17," तेलुगु एक्ट्रेस जयसुधा ने कंगना रनौत के बारे में नहीं कही ये आपत्तिजनक बात, ये पोस्टकार्ड एडिटेड है",0,तलग एकटरस जयसध न कगन रनत क बर म नह कह य आपततजनक बत य पसटकरड एडटड ह
18, लिफ्ट के भीतर सनसनीखेज तरीके से लड़कियों के अपहरण की ये घटना बेंगलुरु की नहीं है,0,लफट क भतर सनसनखज तरक स लडकय क अपहरण क य घटन बगलर क नह ह
19," 25 हजार हवन कुंडों के साथ राम मंदिर का प्राण-प्रतिष्ठा कार्यक्रम होने का दावा है बेबुनियाद, वाराणसी का है ये वीडियो",0,25 हजर हवन कड क सथ रम मदर क परणपरतषठ करयकरम हन क दव ह बबनयद वरणस क ह य वडय
20, प्लेन की खिड़की पर थूकने के बाद बहस करते यात्री का ये वीडियो स्क्रिप्टेड है,0,पलन क खड़क थकन क बद बहस करत यतर क य वडय सकरपटड ह
21," हिट एंड रन कानून से दुखी होकर इस शख्स ने नहीं की आत्महत्या, ये घटना चार साल पुरानी है",0,हट एड रन कनन स दख हकर शखस न नह क आतमहतय य घटन चर सल परन ह
22, हिट-एंड-रन के नए कानून से जोड़कर शेयर किया जा रहा स्कूटी चालक का ये वीडियो पुराना है,0,हटएडरन क नए कनन स जड़कर शयर कय ज रह सकट चलक क य वडय परन ह
23, यमन में बच्ची से रेप करने पर मिली सरेआम सजा-ए-मौत? पूरा सच ये है,0,यमन म बचच स रप करन मल सरआम सजएमत सच य ह
24," बिना बैट के बल्लेबाजी करने उतरा ये खिलाड़ी कौन है, जिसे बताया जा रहा है रोहित शर्मा",0,बन बट क बललबज करन उतर य खलड कन ह जस बतय ज रह ह रहत शरम
25, डीजे बंद कराने आया पुलिसवाला क्या खुद ही नाचने लगा? जानें इस वायरल वीडियो की सच्चाई,0,डज बद करन आय पलसवल कय खद ह नचन लग जन वयरल वडय क सचचई
26, क्रिकेट खेलते वक्त मुंह के बल गिरने वाले ये व्यक्ति राजस्थान सीएम भजनलाल शर्मा नहीं हैं,0,करकट खलत वकत मह क बल गरन वल य वयकत रजसथन सएम भजनलल शरम नह ह
27, क्रेन से मैकडॉनल्ड्स के स्टोर को ढहाए जाने के इस वीडियो का नहीं है कतर से कोई लेना-देना,0,करन स मकडनलडस क सटर क ढहए जन क वडय क नह ह कतर स लनदन
28," मीमर्स ने मौज मस्ती के लिए शेयर किया कांग्रेस का फर्जी क्यूआर कोड, लेकिन लोग मान बैठे इसे सच",0,ममरस न मज मसत क लए शयर कय कगरस क फरज कयआर कड लकन लग मन बठ सच
29, नाइजीरिया में ईसाइयों का नरसंहार नहीं दिखाता है ये वीडियो,0,नइजरय म ईसइय क नरसहर नह दखत ह य वडय
30, फरीदाबाद में स्कूली बच्चे की पिटाई का वीडियो अयोध्या राम मंदिर से जोड़कर किया जा रहा वायरल,0,फरदबद म सकल बचच क पटई क वडय अयधय रम मदर स जड़कर कय ज रह वयरल
31," चुनाव आयोग ने हाल-फिलहाल में नहीं, 2017 में दिया था EVM हैक करने का चैलेंज",0,चनव आयग न हलफलहल म नह 2017 म दय थ EVM हक करन क चलज
32, शिवराज को दोबारा सीएम बनाने की मांग नहीं कर रहे हैं ये लोग,0,शवरज क दबर सएम बनन क मग नह रह ह य लग
33, महिला को निर्वस्त्र कर गांव में घुमाने वाली इस घटना में नहीं है कोई जाति का एंगल,0,महल क नरवसतर गव म घमन वल घटन म नह ह जत क एगल
34, विदेश में हुई पुरानी दुर्घटनाओं को बताया जा रहा भारत में हुआ हालिया हादसा,0,वदश म हई परन दरघटनओ क बतय ज रह भरत म हआ हलय हदस
35," इजरायली सैनिकों द्वारा नेतन्याहू को अस्पताल जाने से रोकने की नहीं है ये तस्वीर, मनगढ़ंत दावा वायरल",0,इजरयल सनक दवर नतनयह क असपतल जन स रकन क नह ह य तसवर मनगढ़त दव वयरल
36," भोजपुरी गाने पर झूमती ये महिला, बीजेपी विधायक श्रेयसी सिंह नहीं बल्कि एक अभिनेत्री है",0,भजपर गन झमत य महल बजप वधयक शरयस सह नह बलक अभनतर ह
37," रोहित शर्मा ने हार्दिक पांड्या को नहीं कहा गद्दार, उनके नाम पर वायरल हो रहा ये बयान फर्जी है",0,रहत शरम न हरदक पडय क नह कह गददर उनक नम वयरल ह रह य बयन फरज ह
38," क्रिसमस पर मॉल को राम-सीता की मूर्तियों से सजाए जाने का दावा है गलत, दशहरा के समय का है वीडियो",0,करसमस मल क रमसत क मरतय स सजए जन क दव ह गलत दशहर क क ह वडय
39, योगी आदित्यनाथ ने पीएम मोदी को भेंट की धीरेंद्र शास्त्री की फोटो? फर्जी है ये तस्वीर,0,यग आदतयनथ न पएम मद क भट क धरदर शसतर क फट फरज ह य तसवर
40, सूर्यकुमार यादव को रोहित शर्मा के सामने भावुक होते नहीं दिखाता ये वीडियो,0,सरयकमर यदव क रहत शरम क समन भवक हत नह दखत य वडय
41, जगन्नाथ मंदिर विवाद के बीच “कर्ली टेल्स” वाली कामिया जानी के धर्म के बारे में फैली गलत जानकारी,0,जगननथ मदर ववद क बच करल टलस वल कमय जन क धरम क बर म फल गलत जनकर
42, भारतीय जहाज में गायों को लदा देख हूती विद्रोहियों के उसे छोड़ने की ये कहानी मनगढ़ंत है,0,भरतय जहज म गय क लद दख हत वदरहय क छडन क य कहन मनगढत ह
43," हार्दिक पांड्या के सामने नहीं लगे रोहित शर्मा को 'मुंबई का राजा' बुलाने वाले नारे, ये वीडियो फर्जी है",0,हरदक पडय क समन नह लग रहत शरम क मबई क रज बलन वल नर य वडय फरज ह
44, शाहरुख की ‘डंकी’ फिल्म से जोड़कर कई पुराने वीडियो को किया जा रहा शेयर,0,शहरख क डक फलम स जड़कर परन वडय क कय ज रह शयर
45," कपिल सिब्बल ने कभी नहीं कही राम मंदिर बनने पर आत्मदाह करने की बात, फर्जी है ये ट्वीट",0,कपल सबबल न कभ नह कह रम मदर बनन आतमदह करन क बत फरज ह य टवट
46, बस के दरवाजे पर लटके CM भजनलाल शर्मा की इस तस्वीर की कहानी कुछ और है,0,बस क दरवज लटक CM भजनलल शरम क तसवर क कहन कछ ह
47, पुलिस द्वारा बेरहमी से पीटा जा रहा ये शख्स गोगामेड़ी की हत्या का आरोपी नहीं है,0,पलस दवर बरहम स पट ज रह य शखस गगमड क हतय क आरप नह ह
48, देसी रील्स से मशहूर हुई मालती चौहान के पति विष्णु की मौत की बात है बेबुनियाद,0,दस रलस स मशहर हई मलत चहन क पत वषण क मत क बत ह बबनयद
49, अमेरिका में बाबा साहेब अंबेडकर के नाम पर खुला पुस्तकालय? चीन की हैं ये तस्वीरें,0,अमरक म बब सहब अबडकर क नम खल पसतकलय चन क ह य तसवर
50, कोलकाता के दुर्गा पूजा पंडाल का वीडियो अयोध्या के राम मंदिर का बताकर किया जा रहा है शेयर,0,कलकत क दरग पज पडल क वडय अयधय क रम मदर क बतकर कय ज रह ह शयर
51," इसका नहीं है बीजेपी कनेक्शन, ये वीडियो कानपुर में एक व्यापारी के घर पड़ी रेड का है",0,इसक नह ह बजप कनकशन य वडय कनपर म वयपर क घर पड़ रड क ह
52," तलवारबाजी करते ये शख्स राजस्थान के सीएम भजनलाल नहीं, एमपी के डिप्टी सीएम जगदीश देवड़ा हैं",0,तलवरबज करत य शखस रजसथन क सएम भजनलल नह एमप क डपट सएम जगदश दवड ह
53, पीएम मोदी को संत प्रेमानंद महाराज का प्रवचन सुनते दिखाता ये वीडियो एडिटेड है,0,पएम मद क सत परमनद महरज क परवचन सनत दखत य वडय एडटड ह
54, राजस्थान बोर्ड की 10वीं और 12वीं की परीक्षाएं रद्द होने का झूठा दावा इंस्टाग्राम पर हुआ वायरल,0,रजसथन बरड क 10व 12व क परकषए रदद हन क झठ दव इसटगरम हआ वयरल
55," राजस्थान के मनोनीत CM भजनलाल ने नहीं की गहलोत की तारीफ, फर्जी अकाउंट से किया गया ये ट्वीट",0,रजसथन क मननत CM भजनलल न नह क गहलत क तरफ फरज अकउट स कय गय य टवट
56," मध्य प्रदेश व राजस्थान में दोबारा चुनाव होने का दावा है बेबुनियाद, फर्जी है ये वीडियो",0,मधय परदश रजसथन म दबर चनव हन क दव ह बबनयद फरज ह य वडय
57, सख्त तेवर दिखा रहे ये व्यक्ति मध्य प्रदेश के मुख्यमंत्री मोहन यादव नहीं हैं,0,सखत तवर दख रह य वयकत मधय परदश क मखयमतर महन यदव नह ह
58, एमपी में सत्ता परिवर्तन के बाद शिवराज के रोने के नए-पुराने वीडियो हो रहे हैं वायरल,0,एमप म सतत परवरतन क बद शवरज क रन क नएपरन वडय ह रह ह वयरल
59," मुख्यमंत्री की रेस की टेंशन में नहीं गिरीं वसुंधरा, ये वीडियो सात साल पुराना है",0,मखयमतर क रस क टशन म नह गर वसधर य वडय सत सल परन ह
60, ढोल पर नाचते राजस्थान बीजेपी विधायक जोगाराम पटेल का ये वीडियो उनकी चुनावी जीत के बाद का नहीं है,0,ढल नचत रजसथन बजप वधयक जगरम पटल क य वडय उनक चनव जत क बद क नह ह
61, सुखदेव सिंह गोगामेड़ी के हत्यारों की राजपूतों ने की पिटाई? ये वीडियो एक दूसरी घटना का है,0,सखदव सह गगमड क हतयर क रजपत न क पटई य वडय दसर घटन क ह
62," ट्रेन में आग लगने की ये घटना आगरा की है, न कि कानपुर की; इसमें किसी की जान नहीं गई थी",0,टरन म आग लगन क य घटन आगर क ह न क कनपर क इसम कस क जन नह थ
63," वसुंधरा राजे और पीएम मोदी की छह साल पुरानी फोटो, हालिया मुलाकात की बताकर हुई वायरल",0,वसधर रज पएम मद क छह सल परन फट हलय मलकत क बतकर हई वयरल
64, बीपीएससी परीक्षा देने बिहार आए लोगों की भीड़ को नहीं दिखाता है ये वायरल वीडियो,0,बपएसस परकष दन बहर आए लग क भड़ क नह दखत ह य वयरल वडय
65, राजस्थान में बीजेपी के चुनाव जीतते ही स्वास्थ्य बीमा की वेबसाइट बंद होने की बात है बेबुनियाद,0,रजसथन म बजप क चनव जतत ह सवसथय बम क वबसइट बद हन क बत ह बबनयद
66, सुखदेव सिंह गोगामेड़ी की हत्या के आरोपियों की नहीं है ये फोटो,0,सखदव सह गगमड क हतय क आरपय क नह ह य फट
67," यूपी से बुलडोजर लेकर राजस्थान जाती ट्रेन का नहीं, ये आंध्र प्रदेश का पुराना वीडियो है",0,यप स बलडजर लकर रजसथन जत टरन क नह य आधर परदश क परन वडय ह
68, राजस्थान चुनाव जीतते ही बाबा बालकनाथ ने पुलिस को धमकाया? पुराना है ये वीडियो,0,रजसथन चनव जतत ह बब बलकनथ न पलस क धमकय परन ह य वडय
69," कांग्रेस के जीतते ही तेलंगाना में कलमा लिखा तिरंगा फहराए जाने की बात है गलत, ये वीडियो पुराना है",0,कगरस क जतत ह तलगन म कलम लख तरग फहरए जन क बत ह गलत य वडय परन ह
70," टी राजा सिंह ने नहीं दिया चुनाव जीतने के बाद ये आपत्तिजनक भाषण, पुराना वीडियो हुआ वायरल",0,ट रज सह न नह दय चनव जतन क बद य आपततजनक भषण परन वडय हआ वयरल
71, करणी सेना चीफ की हत्या का आरोप बीजेपी नेता के साथ खड़े इस रोहित गोदारा पर नहीं लगा है,0,करण सन चफ क हतय क आरप बजप नत क सथ खड रहत गदर नह लग ह
72, चीन के फ्यूल स्टेशन पर हुए कार हादसे के वीडियो को भारत का बताकर किया गया शेयर,0,चन क फयल सटशन हए हदस क वडय क भरत क बतकर कय गय शयर
73, हूती विद्रोहियों के इजरायली जहाज पर हमले को नहीं दिखाता ये वायरल वीडियो,0,हत वदरहय क इजरयल जहज हमल क नह दखत य वयरल वडय
74, मुस्लिम लड़कों से शादी करने वाली इन हिंदू लड़कियों की कहानी बिल्कुल अलग है,0,मसलम लडक स शद करन वल हद लडकय क कहन बलकल अलग ह
75, क्या इस वीडियो में वसुंधरा कर रही हैं निर्दलीय प्रत्याशी को साधने की कोशिश? ये वीडियो पुराना है,0,कय वडय म वसधर रह ह नरदलय परतयश क सधन क कशश य वडय परन ह
76," हमास के सामने इजरायली सैनिकों के सरेंडर को नहीं दिखाता है ये वीडियो, भ्रामक दावा वायरल",0,हमस क समन इजरयल सनक क सरडर क नह दखत ह य वडय भरमक दव वयरल
77," भारत ने नहीं जीता महिला हॉकी विश्व कप, जश्न के इस वीडियो की कहानी कुछ और है",0,भरत न नह जत महल हक वशव कप जशन क वडय क कहन कछ ह
78," वर्ल्ड कप ट्रॉफी पर पैर रखने के चलते मिशेल मार्श को नहीं मिली कोई सजा, बेबुनियाद है ये दावा",0,वरलड कप टरफ रखन क चलत मशल मरश क नह मल सज बबनयद ह य दव
